Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL2159503;;0;527.46;2;6.09;9;CN(C)CCCOc1ccc(NC(=O)c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)cc1;IC50;'=';380.0;nM;6.42;;;UO_0000065;12.17;0.27;0.33;6.58;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL2159508;;0;484.41;1;5.13;14;CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL2163017;Inhibition of USP7 in human HCT116 cells assessed as increase in p53 level at 30 uM incubated up to 48 hrs by Western blot analysis relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HCT-116;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308372;
CHEMBL4105608;;0;316.31;0;3.68;C21;CC(=O)c1nc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1;IC50;'=';6120.0;nM;5.21;;;UO_0000065;16.48;0.36;1.53;7.13;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4087728;;0;455.35;1;5.14;C20;Cc1ccc(CNC(=O)c2nc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)cc1;IC50;'=';3650.0;nM;5.44;;;UO_0000065;11.94;0.27;0.30;5.55;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4103033;;0;310.36;0;3.41;C8;COc1cccc(Sc2sc(C(C)=O)nc2[N+](=O)[O-])c1;IC50;'>';3650.1;nM;;;;UO_0000065;;;;;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL361708;HYMENIALDISINE;0;324.14;0;0.07;4;NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1;Inhibition;'=';3650.2;%;;;;UO_0000187;;;;;0;CHEMBL2400587;Inhibition of USP7 (unknown origin) using ubiquitin-EKL as substrate at 20 uM;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2396580;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2159502;;0;446.38;0;4.94;8;CN1CCC(NC(=O)c2cc([N+](=O)[O-])c(Sc3c(Cl)cccc3Cl)s2)CC1;IC50;'=';3650.3;nM;5.11;;;UO_0000065;11.44;0.26;0.17;6.77;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL2159504;;0;456.33;1;5.77;10;COc1ccc(NC(=O)c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)cc1;IC50;'=';3650.4;nM;6.37;;;UO_0000065;13.95;0.31;0.60;6.75;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL3233809;;0;429.56;0;4.89;3e;CC(=O)Nc1cccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)c1;Inhibition;'=';3650.5;%;;;;UO_0000187;;;;;0;CHEMBL3239925;Inhibition of human USP7 using Ub-rhodamine 110 as substrate at 31 uM;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL3232931;1;Scientific Literature;J. Med. Chem.;2014;None;
CHEMBL1173044;;0;416.52;0;4.66;15g;C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1;IC50;;;;;;Not Active;;;;;;0;CHEMBL3239934;Inhibition of human USP7 using Ub-rhodamine 110 as substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL3232931;1;Scientific Literature;J. Med. Chem.;2014;None;
CHEMBL4076247;;0;330.39;0;4.14;28;CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';750.0;nM;6.12;;;UO_0000065;18.54;0.33;1.98;6.97;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4063215;;0;293.33;0;2.99;18;Nc1nc(N)c(-c2ccc(O)cc2)cc1-c1ccc(O)cc1;IC50;'=';8500.0;nM;5.07;;;UO_0000065;17.29;0.31;2.08;4.81;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
